"","uid","analysisDate","namedLocation","domainID","siteID","plotID","plotType","collectDate","cnSampleID","cnSampleCode","sampleType","d15N","d13C","nitrogenPercent","carbonPercent","CNratio","cnIsotopeQF","cnPercentQF","isotopeAccuracyQF","percentAccuracyQF","analyticalRepNumber","remarks","laboratoryName","testMethod","instrument","analyzedBy","reviewedBy","dataQF","publicationDate"
"11","8447ec8d-75e8-4353-9a86-29ab3e797c48",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.2.140.LIVE.<2MM",NA,"vegetation",0,-27.6,1.9,47.8,25.5,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"12","531858e3-7ed8-4929-ab6c-e4563480d624",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.3.50.LIVE.<2MM",NA,"vegetation",1.2,-27.8,0.9,45.1,49.4,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"13","ce93352b-06ac-4fe1-a775-9b5cddd4ac20",2016-10-18,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.1.10.LIVE.<2MM",NA,"vegetation",1.3,-27.8,0.6,43.3,70.1,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"14","d563a600-954d-4460-855f-3fcc0cc71ebf",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.3.10.LIVE.>2MM",NA,"vegetation",1.6,-27.8,0.6,42.2,78.8,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"15","ddbdc38d-dbb7-4cbd-a3e7-a1874a0b91e1",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.3.80.DEAD.<2MM",NA,"vegetation",0.7,-29.6,0.9,42.7,47.3,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"16","93a64d31-79fc-47c0-8680-8dd7c65b8ed5",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.3.80.LIVE.<2MM",NA,"vegetation",-0.5,-28.8,1.2,39.5,32.2,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"17","2dd953f7-76b2-409d-b4e8-84c2ee5311c6",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.3.60.DEAD.<2MM",NA,"vegetation",-0.5,-28.5,0.7,45.5,69.5,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"18","1828228a-dd93-4df8-a553-2e12302a0358",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.3.20.DEAD.>2MM",NA,"vegetation",0.9,-26.7,0.6,45.1,76.2,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"19","88779a8d-80bb-4707-a147-4c2dd0d44776",2016-10-19,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.1.90.DEAD.<2MM",NA,"vegetation",2.7,-27,0.6,42.8,66.1,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"20","f92e032a-781b-4f5a-95c7-6d9fa7d2cdb8",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.2.30.DEAD.>2MM",NA,"vegetation",-1.1,-27.9,0.8,47.3,62,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"21","e759c9a8-49b4-4795-9e3d-63e04dfc653f",2016-10-18,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.1.40.DEAD.<2MM",NA,"vegetation",1.5,-28.5,0.6,42,74.7,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"22","ee99b69e-82c5-433f-a9f5-d29e2f90aa9b",2016-12-16,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.3.70.DEAD.<2MM",NA,"vegetation",0.2,-27.9,0.7,40.4,60.8,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"23","93196d80-4c51-4040-9d02-06d7ddf70b44",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.3.140.DEAD.<2MM",NA,"vegetation",1,-29,0.75,48.1,61.1,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"24","0ab2c392-aed1-4723-ad7e-1c9521d4384b",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.3.30.DEAD.<2MM",NA,"vegetation",1.2,-28.4,0.6,45,80.6,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"25","20cfc9cb-a7ef-49e1-b944-51a288611a0d",2016-10-18,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.1.0.DEAD.<2MM",NA,"vegetation",-3.1,-27.7,0.9,54.3,62.7,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"26","dad9f7aa-6d7a-4ef9-a90d-2c7cf0af0c02",2016-10-18,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.1.30.LIVE.<2MM",NA,"vegetation",1.8,-28.5,0.9,41.4,48.3,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"27","214d183e-5aab-4c7c-93ca-650aca503836",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.2.90.DEAD.<2MM",NA,"vegetation",2.4,-27.7,0.7,47,71.5,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"28","7bab126a-e226-4953-be7a-ec8cc490050e",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.3.0.LIVE.<2MM",NA,"vegetation",-1.2,-28,0.75,42.65,56.7,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"29","b282077f-8a82-4616-bddd-b09ee7554991",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.2.10.DEAD.>2MM",NA,"vegetation",0.7,-27.5,0.5,49.2,100,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"30","2d34763b-5faf-45c9-902c-a3dc0461db2a",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.2.0.DEAD.>2MM",NA,"vegetation",-0.4,-25.9,0.4,44,122.3,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"31","819e6d99-b91b-46b9-9133-470b04e2fe48",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.2.100.DEAD.<2MM",NA,"vegetation",2.7,-27.2,1.1,48.5,43.4,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"32","fbf8a86c-e791-457b-9072-da897eb79e8f",2016-10-31,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.3.140.LIVE.<2MM",NA,"vegetation",0.6,-28.6,1.1,48.8,43.3,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"33","52c93941-d477-42ec-9e33-b16301f9a827",2016-10-18,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.1.40.LIVE.<2MM",NA,"vegetation",2.9,-28.2,0.5,32.5,59.4,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"34","1a4c7288-9a2c-4c18-96d2-c3956c14491c",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.2.10.LIVE.<2MM",NA,"vegetation",0.7,-28.2,0.5,49.1,91,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"35","91465848-7e46-42c0-b333-007b50208a0f",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.2.70.LIVE.<2MM",NA,"vegetation",3,-27.6,0.7,30.9,46.6,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"36","ad480e45-81d6-4b42-a30d-aa24adb516c8",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.3.100.LIVE.<2MM",NA,"vegetation",2.3,-27.5,0.7,48.2,70.2,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"37","ea9a2b2f-14ba-49e1-b9b2-5c065e777767",2016-12-08,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.1.70.LIVE.<2MM",NA,"vegetation",3,-29.1,0.6,46,79.6,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"38","f87ea40b-92d1-47b6-87f5-94b829527e85",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.3.60.LIVE.<2MM",NA,"vegetation",2.2,-27.5,1.2,45,38.2,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"39","3df93503-3b3e-4a77-a7eb-f0135da4d1ce",2016-12-16,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.2.60.LIVE.<2MM",NA,"vegetation",1.4,-27.9,0.7,45.1,68.8,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"40","905b80c8-7de5-4885-9619-f910e7821ec9",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.3.40.LIVE.<2MM",NA,"vegetation",1.6,-29.2,0.6,48.2,74.4,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"41","3fd5d5f5-ae91-4929-9ceb-3c1850de23db",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.3.90.DEAD.<2MM",NA,"vegetation",2,-27.5,0.5,49,98,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"42","d0152165-842b-4130-a2b3-47e60961aa7e",2016-10-19,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.1.100.DEAD.<2MM",NA,"vegetation",0,-27.7,0.6,50.5,82.3,"sample d15N out of qaqc tolerance","sample percent N out of qaqc tolerance",NA,NA,1,"N amplitude below threshold for reliable data.All of sample used.","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"43","e37d68ae-95a0-43ba-836c-e7a7ef30e54c",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.2.0.LIVE.>2MM",NA,"vegetation",-0.2,-27.4,0.4,47,125.1,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"44","92a77bc8-e89b-4544-9330-da282e114c10",2016-10-18,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.1.20.LIVE.<2MM",NA,"vegetation",0.9,-27.9,0.5,36.9,68.4,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"45","d49bf3fe-ae77-4ae9-ab6e-7a672a44ff02",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.2.70.DEAD.<2MM",NA,"vegetation",1.3,-28.1,0.6,45.5,77,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"46","0f999fff-2b10-47d8-82b9-02a1bfcb2c90",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.3.10.DEAD.>2MM",NA,"vegetation",0.5,-27.7,0.55,48.3,85.8,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"47","bce43cc8-3cb4-43dc-bc55-968f3da3fbc3",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.2.10.LIVE.>2MM",NA,"vegetation",1.4,-27.6,0.4,48.3,111.1,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"48","ecee0e34-b777-443d-9bd5-1c3638e4c39c",2016-10-19,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.1.90.LIVE.<2MM",NA,"vegetation",2.7,-28.3,1,43.8,45.8,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"49","486d47e9-ab52-4e39-804d-239f1552bac4",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.2.20.LIVE.>2MM",NA,"vegetation",0.3,-27.1,0.5,46.9,89.5,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"50","66c2889e-52a2-4aa0-a51d-7bd74b757760",2016-10-18,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.1.0.LIVE.<2MM",NA,"vegetation",-1.8,-29,1.1,50.1,46.6,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
"51","e5e26f0f-3133-4c89-bd27-3c5c5aa093a1",2016-10-24,"MEGAPT100963","D01","BART",NA,NA,2013-08-19 16:00:00,"BART.1.120.LIVE.<2MM",NA,"vegetation",1.4,-29.6,1,43.8,42.4,"OK","OK",NA,NA,1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201217T015540Z"
